,max,uquartile,median,lquartile,min,mean,std,var,kurtosis,peaks,label
91,0.006111899025137941,0.003404884854759854,0.0018333613414101269,-0.004550078007166481,-0.007240840011339732,0.00031423565188387013,0.004379886065305131,1.9183401945054062e-05,-1.1801092887453293,4,0
92,-0.0016889130468940644,-0.0035303108192951136,-0.0054903737261214475,-0.0069984541753924726,-0.007497429352628164,-0.005233454879920337,0.0018199991738433263,3.31239699279039e-06,-1.27512076439038,5,0
93,0.014244355419480178,0.011329100272448364,0.009418212779393167,0.0059302629092038385,-0.0012492439454085372,0.00859113986752874,0.003968024725971987,1.5745220225925064e-05,-0.5764704400868559,2,0
94,0.012210316587195015,0.010632484876445268,0.009145012522803007,0.007908289329985298,0.00406923454222104,0.008947740850231799,0.0021963140226679344,4.823795286167804e-06,-0.31648172587431445,5,0
95,0.011553869483117866,0.010037507279658922,0.007350740471653792,0.00450497718228612,0.0036444069680214596,0.007414114593437087,0.00279701446554149,7.823289920448346e-06,-1.5922875116177502,4,0
96,0.009570679099677265,0.00841791763938322,0.006143512680113647,0.00043572681393652755,-0.013364704393093924,0.003490030448306208,0.005924318764655078,3.509755282524427e-05,0.29477240224489076,3,0
97,0.29524598171247357,0.12833179302538295,-0.013874605746130269,-0.02430916006937538,-0.03233196076762418,0.05744644160110262,0.11078370717415702,0.012273029775249368,-0.5511232969889472,1,2
98,0.29540403493000367,0.12203962408893596,-0.03900355766056486,-0.07762697673678717,-0.08079500193063696,0.027877418773742686,0.12799219204249337,0.016382001223842504,-0.6935981474582875,0,2
99,-0.032867730032673216,-0.039039670858152804,-0.051798435928543565,-0.06591108334484,-0.07465288531217998,-0.052430533229293114,0.013643699309661972,0.00018615053085247057,-1.3935430105187603,1,0
100,-0.01759521919516806,-0.02524397635905464,-0.03120041599727625,-0.03485835885075152,-0.03781943508352363,-0.02972682880220425,0.0059190495372303505,3.5035147424186824e-05,-0.7792219565902503,4,0
101,-0.003572423345811601,-0.00456709389039893,-0.0062960950878227515,-0.010979705473712846,-0.01742071748020996,-0.007832523000400538,0.003966699936650655,1.573470838742431e-05,-0.5166478597992428,4,0
102,-0.003995268796744607,-0.005656654977183682,-0.006997986672444268,-0.00873409707228433,-0.012014847092164107,-0.007448813098807429,0.0021241415866333543,4.5119774800652645e-06,-0.574142267161192,2,0
103,0.005649034095598133,0.0006157430753465938,-0.0036451455788884674,-0.004803977240171052,-0.010768252180194669,-0.0025785883894570245,0.004370187224956361,1.9098536381171777e-05,-0.7309994734833816,5,0
104,0.0020709956599269364,-0.0011733228916376297,-0.005725383232582138,-0.011063166957604427,-0.013773231056936062,-0.005822545058547059,0.0050863318586203896,2.5870771776016747e-05,-1.3723555188970562,1,0
105,0.007159438982021092,0.0034267547554116635,0.0013105354246134013,-0.0015640564267531871,-0.008673365036475835,0.0006705672588382195,0.004481250980403047,2.008161034936327e-05,-0.4846896198264541,3,0
106,0.0037253545983350076,-0.0034676379897385632,-0.005456596782188761,-0.010077051903674927,-0.014248092774989882,-0.006500113730413061,0.004543796506741155,2.0646086694673127e-05,-0.7303415295447571,1,0
107,0.01199679882392987,0.006878875579976677,0.0030539980442580066,-0.0018287065894996867,-0.003915279555713504,0.003151514070862418,0.004988882125152304,2.488894485866417e-05,-1.0967804035148505,3,0
108,0.0004406462775571927,-0.003245726168764857,-0.006186425908426748,-0.012509748081133875,-0.01544512242573071,-0.007591509802639552,0.00517665169446242,2.6797722765780647e-05,-1.4039068541878081,2,0
109,0.49878755570212796,0.29580936168891075,0.0017545770976214888,-0.014845475219109276,-0.016706735548636425,0.13480529319893295,0.19381281170965453,0.037563405982802,-0.9266411671655801,3,1
110,0.48742410001516123,0.15467452652600552,-0.07896370627207776,-0.12783741585581118,-0.1330280673939921,0.028895884941454224,0.1995990649580965,0.039839786732146436,-0.35815765841397473,0,2
111,-0.0873130727045554,-0.08843106141983403,-0.09920738927685278,-0.11360162384850928,-0.1248812973719351,-0.10162539377256113,0.012710363330523212,0.00016155333599390912,-1.4005049917979442,2,0
112,-0.05401999184222834,-0.05758280645591284,-0.05834771906495804,-0.07652492358972694,-0.08744707160816456,-0.06577634771646025,0.011078204982553306,0.0001227266256354689,-1.04822444721823,2,0
113,-0.020758141559306487,-0.023052038655841732,-0.03636659303753573,-0.03938449650901918,-0.0535879016408603,-0.03368150987887471,0.009585367356537968,9.187926735978368e-05,-1.0442714052108315,2,0
114,-0.0013516325241099208,-0.0032809281087356587,-0.013544170904363642,-0.01785285550663451,-0.023312903088588407,-0.011295393227322943,0.007489938261373362,5.609917515918462e-05,-1.6682663786092369,3,0
115,-0.0003446742092114664,-0.002155863328645217,-0.004370796698082091,-0.009925212142964875,-0.01102151790088262,-0.005375405966867165,0.0038012679555463856,1.4449638069863798e-05,-1.5090360086843049,5,0
116,0.010017909177808705,0.009100463999473053,0.004516373235516381,-0.00015833746410110606,-0.0038320275088266856,0.00423980071847968,0.004644614290709865,2.15724419094663e-05,-1.3747691417272092,4,0
117,0.013551597419787278,0.011205891544214846,0.007132769432468135,0.006187981830248242,0.001280973688433845,0.007871027081184536,0.003511268240147551,1.232900465426888e-05,-0.8618427480977622,4,0
118,0.01399307708786319,0.009736078401680661,0.007164256072147391,0.004820449604821376,0.0010728721108000986,0.0071152503531187045,0.003100891849301965,9.61553026106736e-06,-0.7240651238656621,2,0
119,0.01744526200098692,0.01613007678955057,0.013834071435677369,0.0075477349536194095,0.002276749002488323,0.01162466163732463,0.005122443543904573,2.623942786048964e-05,-1.209018265166637,4,0
120,0.011243753129642757,0.00966549954075889,0.007798522102086062,0.005360895508342305,0.002276083678022644,0.007399584571811691,0.0028406807124532136,8.069466910103698e-06,-1.0911424462580068,4,0
121,0.01797682008996552,0.015640755742483838,0.009844565003425124,0.006442602441266706,-0.008643860683843539,0.01029951022207906,0.005825934336772497,3.394151089638479e-05,0.6522278767291843,3,0
122,0.3305718765739944,0.2704741780253066,0.15315847381359626,0.03368185949062649,-0.018125373105926705,0.15196174810765914,0.12358508047381042,0.015273272115718196,-1.4607089211700124,1,1
123,0.034131620136724126,-0.06459059586079464,-0.07388585989420454,-0.07793910470267168,-0.08189752486539256,-0.0627504288390965,0.026796146661164894,0.0007180334758866585,3.2667499774826103,0,2
